"ITTER107","Territorio","TIPO_DATO_1522","Tipo dato","SEXISTAT1","Sesso","ISO","Nazionalità","TIPSERVSOC","Esito","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","USERS","utenti del 1522","T","totale","NRP","Non Indicato","TOT_EMERG","totale chiamate in emergenza","2014","2014",6,,
"IT","Italia","USERS","utenti del 1522","T","totale","NRP","Non Indicato","TOT_EMERG","totale chiamate in emergenza","2015","2015",1,,
"IT","Italia","USERS","utenti del 1522","T","totale","NRP","Non Indicato","TOT_EMERG","totale chiamate in emergenza","2019","2019",3,,
"IT","Italia","USERS","utenti del 1522","T","totale","NRP","Non Indicato","TOT_EMERG","totale chiamate in emergenza","2020","2020",10,,
"IT","Italia","USERS","utenti del 1522","T","totale","NRP","Non Indicato","TOT_EMERG","totale chiamate in emergenza","2021","2021",11,,
"IT","Italia","USERS","utenti del 1522","T","totale","NRP","Non Indicato","TOT_EMERG","totale chiamate in emergenza","2022","2022",18,,
"IT","Italia","USERS","utenti del 1522","T","totale","NRP","Non Indicato","ALL_VAL","chiamate valide","2013","2013",1579,,
"IT","Italia","USERS","utenti del 1522","T","totale","NRP","Non Indicato","ALL_VAL","chiamate valide","2014","2014",298,,
"IT","Italia","USERS","utenti del 1522","T","totale","NRP","Non Indicato","ALL_VAL","chiamate valide","2015","2015",1,,
"IT","Italia","USERS","utenti del 1522","T","totale","NRP","Non Indicato","ALL_VAL","chiamate valide","2018","2018",1,,
"IT","Italia","USERS","utenti del 1522","T","totale","NRP","Non Indicato","ALL_VAL","chiamate valide","2019","2019",3,,
"IT","Italia","USERS","utenti del 1522","T","totale","NRP","Non Indicato","ALL_VAL","chiamate valide","2020","2020",10,,
"IT","Italia","USERS","utenti del 1522","T","totale","NRP","Non Indicato","ALL_VAL","chiamate valide","2021","2021",11,,
"IT","Italia","USERS","utenti del 1522","T","totale","NRP","Non Indicato","ALL_VAL","chiamate valide","2022","2022",18,,
"IT","Italia","USERS","utenti del 1522","NRP","non indicato","NRP","Non Indicato","118_REQUIRED","richiesto intervento del 118","2013","2013",1,,
"IT","Italia","USERS","utenti del 1522","NRP","non indicato","NRP","Non Indicato","118_REQUIRED","richiesto intervento del 118","2021","2021",1,,
"IT","Italia","USERS","utenti del 1522","NRP","non indicato","NRP","Non Indicato","118_REQUIRED","richiesto intervento del 118","2022","2022",2,,
"IT","Italia","USERS","utenti del 1522","NRP","non indicato","NRP","Non Indicato","112_REQUIRED","richiesto intervento del 112","2013","2013",9,,
