"ITTER107","Territorio","TIPO_DATO_1522","Tipo dato","TIPUTENZA2","Tipologia di utenza","SEXISTAT1","Sesso","ISO","Nazionalità","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"ITF3","Campania","USERS","utenti del 1522","OTH_VALID","altre chiamate valide","T","totale","NRP","Non Indicato","2013","2013",2,,
"ITF3","Campania","USERS","utenti del 1522","USERS_CAL","utenti che chiamano per sè","T","totale","NRP","Non Indicato","2013","2013",121,,
"ITF3","Campania","USERS","utenti del 1522","USERS_CAL","utenti che chiamano per sè","T","totale","NRP","Non Indicato","2014","2014",18,,
"ITF3","Campania","USERS","utenti del 1522","ALL_VAL","chiamate valide","NRP","non indicato","NRP","Non Indicato","2013","2013",21,,
"ITF3","Campania","USERS","utenti del 1522","ALL_VAL","chiamate valide","NRP","non indicato","NRP","Non Indicato","2014","2014",2,,
"ITF3","Campania","USERS","utenti del 1522","OPERATORS","da operatori","NRP","non indicato","NRP","Non Indicato","2013","2013",1,,
"ITF3","Campania","USERS","utenti del 1522","USERS_CAL","utenti che chiamano per sè","NRP","non indicato","NRP","Non Indicato","2013","2013",20,,
"ITF3","Campania","USERS","utenti del 1522","USERS_CAL","utenti che chiamano per sè","NRP","non indicato","NRP","Non Indicato","2014","2014",2,,
"ITF4","Puglia","USERS","utenti del 1522","ALL_VAL","chiamate valide","M","maschi","NRP","Non Indicato","2013","2013",12,,
"ITF4","Puglia","USERS","utenti del 1522","ALL_VAL","chiamate valide","M","maschi","NRP","Non Indicato","2014","2014",2,,
"ITF4","Puglia","USERS","utenti del 1522","OPERATORS","da operatori","M","maschi","NRP","Non Indicato","2013","2013",2,,
"ITF4","Puglia","USERS","utenti del 1522","OPERATORS","da operatori","M","maschi","NRP","Non Indicato","2014","2014",1,,
"ITF4","Puglia","USERS","utenti del 1522","USERS_CAL","utenti che chiamano per sè","M","maschi","NRP","Non Indicato","2013","2013",10,,
"ITF4","Puglia","USERS","utenti del 1522","USERS_CAL","utenti che chiamano per sè","M","maschi","NRP","Non Indicato","2014","2014",1,,
"ITF4","Puglia","USERS","utenti del 1522","ALL_VAL","chiamate valide","F","femmine","NRP","Non Indicato","2013","2013",44,,
"ITF4","Puglia","USERS","utenti del 1522","ALL_VAL","chiamate valide","F","femmine","NRP","Non Indicato","2014","2014",9,,
"ITF4","Puglia","USERS","utenti del 1522","USERS_CAL","utenti che chiamano per sè","F","femmine","NRP","Non Indicato","2013","2013",44,,
"ITF4","Puglia","USERS","utenti del 1522","USERS_CAL","utenti che chiamano per sè","F","femmine","NRP","Non Indicato","2014","2014",9,,
"ITF4","Puglia","USERS","utenti del 1522","ALL_VAL","chiamate valide","T","totale","NRP","Non Indicato","2013","2013",65,,
"ITF4","Puglia","USERS","utenti del 1522","ALL_VAL","chiamate valide","T","totale","NRP","Non Indicato","2014","2014",14,,
"ITF4","Puglia","USERS","utenti del 1522","OPERATORS","da operatori","T","totale","NRP","Non Indicato","2013","2013",2,,
